repo_key,github_repo,chain_name,is_active
arbitrum_vars,arbitrum-models,arbitrum,true
avalanche_vars,avalanche-models,avalanche,true
base_vars,base-models,base,true
blast_vars,blast-models,blast,false
bob_vars,bob-models,bob,true
boba_vars,boba-models,boba,true
bsc_vars,bsc-models,bsc,true
core_vars,core-models,core,true
ethereum_vars,ethereum-models,ethereum,true
gnosis_vars,gnosis-models,gnosis,true
ink_vars,ink-models,ink,true
kaia_vars,kaia-models,kaia,false
mantle_vars,mantle-models,mantle,true
optimism_vars,optimism-models,optimism,true
polygon_vars,polygon-models,polygon,true
ronin_vars,ronin-models,ronin,true
scroll_vars,scroll-models,scroll,true
swell_vars,swell-models,swell,true
